"全域・集中の別030002","時間軸(年次)","年齢５歳階級Ａ030002","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","総数","全国","男女総数","117060396"
"全域","1980年","総数","全国市部","男女総数","89187409"
"全域","1980年","総数","全国郡部","男女総数","27872987"
"全域","1980年","総数","北海道","男女総数","5575989"
"全域","1980年","総数","青森県","男女総数","1523907"
"全域","1980年","総数","岩手県","男女総数","1421927"
"全域","1980年","総数","宮城県","男女総数","2082320"
"全域","1980年","総数","秋田県","男女総数","1256745"
"全域","1980年","総数","山形県","男女総数","1251917"
"全域","1980年","総数","福島県","男女総数","2035272"
"全域","1980年","総数","茨城県","男女総数","2558007"
"全域","1980年","総数","栃木県","男女総数","1792201"
"全域","1980年","総数","群馬県","男女総数","1848562"
"全域","1980年","総数","埼玉県","男女総数","5420480"
"全域","1980年","総数","千葉県","男女総数","4735424"
"全域","1980年","総数","東京都","男女総数","11618281"
"全域","1980年","総数","神奈川県","男女総数","6924348"
"全域","1980年","総数","新潟県","男女総数","2451357"
"全域","1980年","総数","富山県","男女総数","1103459"
"全域","1980年","総数","石川県","男女総数","1119304"
"全域","1980年","総数","福井県","男女総数","794354"
"全域","1980年","総数","山梨県","男女総数","804256"
"全域","1980年","総数","長野県","男女総数","2083934"
"全域","1980年","総数","岐阜県","男女総数","1960107"
"全域","1980年","総数","静岡県","男女総数","3446804"
"全域","1980年","総数","愛知県","男女総数","6221638"
"全域","1980年","総数","三重県","男女総数","1686936"
"全域","1980年","総数","滋賀県","男女総数","1079898"
"全域","1980年","総数","京都府","男女総数","2527330"
"全域","1980年","総数","大阪府","男女総数","8473446"
"全域","1980年","総数","兵庫県","男女総数","5144892"
"全域","1980年","総数","奈良県","男女総数","1209365"
"全域","1980年","総数","和歌山県","男女総数","1087012"
"全域","1980年","総数","鳥取県","男女総数","604221"
"全域","1980年","総数","島根県","男女総数","784795"
"全域","1980年","総数","岡山県","男女総数","1871023"
"全域","1980年","総数","広島県","男女総数","2739161"
"全域","1980年","総数","山口県","男女総数","1587079"
"全域","1980年","総数","徳島県","男女総数","825261"
"全域","1980年","総数","香川県","男女総数","999864"
"全域","1980年","総数","愛媛県","男女総数","1506637"
"全域","1980年","総数","高知県","男女総数","831275"
"全域","1980年","総数","福岡県","男女総数","4553461"
"全域","1980年","総数","佐賀県","男女総数","865574"
"全域","1980年","総数","長崎県","男女総数","1590564"
"全域","1980年","総数","熊本県","男女総数","1790327"
"全域","1980年","総数","大分県","男女総数","1228913"
"全域","1980年","総数","宮崎県","男女総数","1151587"
"全域","1980年","総数","鹿児島県","男女総数","1784623"
"全域","1980年","総数","沖縄県","男女総数","1106559"
"全域","1980年","０－４歳","全国","男女総数","8515416"
"全域","1980年","０－４歳","全国市部","男女総数","6543353"
"全域","1980年","０－４歳","全国郡部","男女総数","1972063"
"全域","1980年","０－４歳","北海道","男女総数","407498"
"全域","1980年","０－４歳","青森県","男女総数","112171"
"全域","1980年","０－４歳","岩手県","男女総数","102771"
"全域","1980年","０－４歳","宮城県","男女総数","160137"
"全域","1980年","０－４歳","秋田県","男女総数","85602"
"全域","1980年","０－４歳","山形県","男女総数","87122"
"全域","1980年","０－４歳","福島県","男女総数","153395"
"全域","1980年","０－４歳","茨城県","男女総数","197471"
"全域","1980年","０－４歳","栃木県","男女総数","139275"
"全域","1980年","０－４歳","群馬県","男女総数","137741"
"全域","1980年","０－４歳","埼玉県","男女総数","434011"
"全域","1980年","０－４歳","千葉県","男女総数","374804"
"全域","1980年","０－４歳","東京都","男女総数","715230"
"全域","1980年","０－４歳","神奈川県","男女総数","517278"
"全域","1980年","０－４歳","新潟県","男女総数","176969"
"全域","1980年","０－４歳","富山県","男女総数","76452"
"全域","1980年","０－４歳","石川県","男女総数","83466"
"全域","1980年","０－４歳","福井県","男女総数","57358"
"全域","1980年","０－４歳","山梨県","男女総数","55028"
"全域","1980年","０－４歳","長野県","男女総数","147543"
"全域","1980年","０－４歳","岐阜県","男女総数","142688"
"全域","1980年","０－４歳","静岡県","男女総数","259599"
"全域","1980年","０－４歳","愛知県","男女総数","476917"
"全域","1980年","０－４歳","三重県","男女総数","116918"
"全域","1980年","０－４歳","滋賀県","男女総数","86794"
"全域","1980年","０－４歳","京都府","男女総数","178281"
"全域","1980年","０－４歳","大阪府","男女総数","612532"
"全域","1980年","０－４歳","兵庫県","男女総数","376457"
"全域","1980年","０－４歳","奈良県","男女総数","88473"
"全域","1980年","０－４歳","和歌山県","男女総数","73060"
"全域","1980年","０－４歳","鳥取県","男女総数","42884"
"全域","1980年","０－４歳","島根県","男女総数","53087"
"全域","1980年","０－４歳","岡山県","男女総数","131906"
"全域","1980年","０－４歳","広島県","男女総数","201603"
"全域","1980年","０－４歳","山口県","男女総数","108570"
"全域","1980年","０－４歳","徳島県","男女総数","54955"
"全域","1980年","０－４歳","香川県","男女総数","70716"
"全域","1980年","０－４歳","愛媛県","男女総数","106027"
"全域","1980年","０－４歳","高知県","男女総数","54321"
"全域","1980年","０－４歳","福岡県","男女総数","340210"
"全域","1980年","０－４歳","佐賀県","男女総数","64541"
"全域","1980年","０－４歳","長崎県","男女総数","118379"
"全域","1980年","０－４歳","熊本県","男女総数","126547"
"全域","1980年","０－４歳","大分県","男女総数","87901"
"全域","1980年","０－４歳","宮崎県","男女総数","90220"
"全域","1980年","０－４歳","鹿児島県","男女総数","126262"
"全域","1980年","０－４歳","沖縄県","男女総数","104246"
"全域","1980年","５－９歳","全国","男女総数","10032034"
"全域","1980年","５－９歳","全国市部","男女総数","7756057"
"全域","1980年","５－９歳","全国郡部","男女総数","2275977"
"全域","1980年","５－９歳","北海道","男女総数","465277"
"全域","1980年","５－９歳","青森県","男女総数","128051"
"全域","1980年","５－９歳","岩手県","男女総数","113133"
"全域","1980年","５－９歳","宮城県","男女総数","169826"
"全域","1980年","５－９歳","秋田県","男女総数","90290"
"全域","1980年","５－９歳","山形県","男女総数","90633"
"全域","1980年","５－９歳","福島県","男女総数","163208"
"全域","1980年","５－９歳","茨城県","男女総数","231513"
"全域","1980年","５－９歳","栃木県","男女総数","158550"
"全域","1980年","５－９歳","群馬県","男女総数","161921"
"全域","1980年","５－９歳","埼玉県","男女総数","553901"
"全域","1980年","５－９歳","千葉県","男女総数","459737"
"全域","1980年","５－９歳","東京都","男女総数","865035"
"全域","1980年","５－９歳","神奈川県","男女総数","633171"
"全域","1980年","５－９歳","新潟県","男女総数","193069"
"全域","1980年","５－９歳","富山県","男女総数","93102"
"全域","1980年","５－９歳","石川県","男女総数","99238"
"全域","1980年","５－９歳","福井県","男女総数","66108"
"全域","1980年","５－９歳","山梨県","男女総数","64265"
"全域","1980年","５－９歳","長野県","男女総数","168140"
"全域","1980年","５－９歳","岐阜県","男女総数","173595"
"全域","1980年","５－９歳","静岡県","男女総数","304565"
"全域","1980年","５－９歳","愛知県","男女総数","579665"
"全域","1980年","５－９歳","三重県","男女総数","141922"
"全域","1980年","５－９歳","滋賀県","男女総数","97866"
"全域","1980年","５－９歳","京都府","男女総数","213378"
"全域","1980年","５－９歳","大阪府","男女総数","767953"
"全域","1980年","５－９歳","兵庫県","男女総数","453343"
"全域","1980年","５－９歳","奈良県","男女総数","108732"
"全域","1980年","５－９歳","和歌山県","男女総数","89112"
"全域","1980年","５－９歳","鳥取県","男女総数","46832"
"全域","1980年","５－９歳","島根県","男女総数","59654"
"全域","1980年","５－９歳","岡山県","男女総数","157467"
"全域","1980年","５－９歳","広島県","男女総数","240992"
"全域","1980年","５－９歳","山口県","男女総数","129724"
"全域","1980年","５－９歳","徳島県","男女総数","62854"
"全域","1980年","５－９歳","香川県","男女総数","82177"
"全域","1980年","５－９歳","愛媛県","男女総数","124029"
"全域","1980年","５－９歳","高知県","男女総数","63840"
"全域","1980年","５－９歳","福岡県","男女総数","376543"
"全域","1980年","５－９歳","佐賀県","男女総数","69820"
"全域","1980年","５－９歳","長崎県","男女総数","134982"
"全域","1980年","５－９歳","熊本県","男女総数","136847"
"全域","1980年","５－９歳","大分県","男女総数","98569"
"全域","1980年","５－９歳","宮崎県","男女総数","96612"
"全域","1980年","５－９歳","鹿児島県","男女総数","137300"
"全域","1980年","５－９歳","沖縄県","男女総数","115493"
"全域","1980年","１０－１４歳","全国","男女総数","8959628"
"全域","1980年","１０－１４歳","全国市部","男女総数","6868366"
"全域","1980年","１０－１４歳","全国郡部","男女総数","2091262"
"全域","1980年","１０－１４歳","北海道","男女総数","425549"
"全域","1980年","１０－１４歳","青森県","男女総数","126232"
"全域","1980年","１０－１４歳","岩手県","男女総数","110110"
"全域","1980年","１０－１４歳","宮城県","男女総数","150589"
"全域","1980年","１０－１４歳","秋田県","男女総数","87385"
"全域","1980年","１０－１４歳","山形県","男女総数","84949"
"全域","1980年","１０－１４歳","福島県","男女総数","150237"
"全域","1980年","１０－１４歳","茨城県","男女総数","199482"
"全域","1980年","１０－１４歳","栃木県","男女総数","135407"
"全域","1980年","１０－１４歳","群馬県","男女総数","141886"
"全域","1980年","１０－１４歳","埼玉県","男女総数","470509"
"全域","1980年","１０－１４歳","千葉県","男女総数","390373"
