"全域・集中の別030002","時間軸(年次)","年齢各歳階級Ｂ030003","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","総数","全国","男女総数","117060396"
"全域","1980年","総数","全国市部","男女総数","89187409"
"全域","1980年","総数","全国郡部","男女総数","27872987"
"全域","1980年","総数","北海道","男女総数","5575989"
"全域","1980年","総数","青森県","男女総数","1523907"
"全域","1980年","総数","岩手県","男女総数","1421927"
"全域","1980年","総数","宮城県","男女総数","2082320"
"全域","1980年","総数","秋田県","男女総数","1256745"
"全域","1980年","総数","山形県","男女総数","1251917"
"全域","1980年","総数","福島県","男女総数","2035272"
"全域","1980年","総数","茨城県","男女総数","2558007"
"全域","1980年","総数","栃木県","男女総数","1792201"
"全域","1980年","総数","群馬県","男女総数","1848562"
"全域","1980年","総数","埼玉県","男女総数","5420480"
"全域","1980年","総数","千葉県","男女総数","4735424"
"全域","1980年","総数","東京都","男女総数","11618281"
"全域","1980年","総数","神奈川県","男女総数","6924348"
"全域","1980年","総数","新潟県","男女総数","2451357"
"全域","1980年","総数","富山県","男女総数","1103459"
"全域","1980年","総数","石川県","男女総数","1119304"
"全域","1980年","総数","福井県","男女総数","794354"
"全域","1980年","総数","山梨県","男女総数","804256"
"全域","1980年","総数","長野県","男女総数","2083934"
"全域","1980年","総数","岐阜県","男女総数","1960107"
"全域","1980年","総数","静岡県","男女総数","3446804"
"全域","1980年","総数","愛知県","男女総数","6221638"
"全域","1980年","総数","三重県","男女総数","1686936"
"全域","1980年","総数","滋賀県","男女総数","1079898"
"全域","1980年","総数","京都府","男女総数","2527330"
"全域","1980年","総数","大阪府","男女総数","8473446"
"全域","1980年","総数","兵庫県","男女総数","5144892"
"全域","1980年","総数","奈良県","男女総数","1209365"
"全域","1980年","総数","和歌山県","男女総数","1087012"
"全域","1980年","総数","鳥取県","男女総数","604221"
"全域","1980年","総数","島根県","男女総数","784795"
"全域","1980年","総数","岡山県","男女総数","1871023"
"全域","1980年","総数","広島県","男女総数","2739161"
"全域","1980年","総数","山口県","男女総数","1587079"
"全域","1980年","総数","徳島県","男女総数","825261"
"全域","1980年","総数","香川県","男女総数","999864"
"全域","1980年","総数","愛媛県","男女総数","1506637"
"全域","1980年","総数","高知県","男女総数","831275"
"全域","1980年","総数","福岡県","男女総数","4553461"
"全域","1980年","総数","佐賀県","男女総数","865574"
"全域","1980年","総数","長崎県","男女総数","1590564"
"全域","1980年","総数","熊本県","男女総数","1790327"
"全域","1980年","総数","大分県","男女総数","1228913"
"全域","1980年","総数","宮崎県","男女総数","1151587"
"全域","1980年","総数","鹿児島県","男女総数","1784623"
"全域","1980年","総数","沖縄県","男女総数","1106559"
"全域","1980年"," ０歳","全国","男女総数","1586504"
"全域","1980年"," ０歳","全国市部","男女総数","1221911"
"全域","1980年"," ０歳","全国郡部","男女総数","364593"
"全域","1980年"," ０歳","北海道","男女総数","76183"
"全域","1980年"," ０歳","青森県","男女総数","21416"
"全域","1980年"," ０歳","岩手県","男女総数","19328"
"全域","1980年"," ０歳","宮城県","男女総数","30995"
"全域","1980年"," ０歳","秋田県","男女総数","16369"
"全域","1980年"," ０歳","山形県","男女総数","16776"
"全域","1980年"," ０歳","福島県","男女総数","29445"
"全域","1980年"," ０歳","茨城県","男女総数","36460"
"全域","1980年"," ０歳","栃木県","男女総数","26242"
"全域","1980年"," ０歳","群馬県","男女総数","25210"
"全域","1980年"," ０歳","埼玉県","男女総数","76623"
"全域","1980年"," ０歳","千葉県","男女総数","67078"
"全域","1980年"," ０歳","東京都","男女総数","138218"
"全域","1980年"," ０歳","神奈川県","男女総数","95322"
"全域","1980年"," ０歳","新潟県","男女総数","33126"
"全域","1980年"," ０歳","富山県","男女総数","13697"
"全域","1980年"," ０歳","石川県","男女総数","15285"
"全域","1980年"," ０歳","福井県","男女総数","10852"
"全域","1980年"," ０歳","山梨県","男女総数","10096"
"全域","1980年"," ０歳","長野県","男女総数","27285"
"全域","1980年"," ０歳","岐阜県","男女総数","25968"
"全域","1980年"," ０歳","静岡県","男女総数","48073"
"全域","1980年"," ０歳","愛知県","男女総数","88156"
"全域","1980年"," ０歳","三重県","男女総数","21455"
"全域","1980年"," ０歳","滋賀県","男女総数","16200"
"全域","1980年"," ０歳","京都府","男女総数","32721"
"全域","1980年"," ０歳","大阪府","男女総数","112907"
"全域","1980年"," ０歳","兵庫県","男女総数","70033"
"全域","1980年"," ０歳","奈良県","男女総数","15998"
"全域","1980年"," ０歳","和歌山県","男女総数","13630"
"全域","1980年"," ０歳","鳥取県","男女総数","8289"
"全域","1980年"," ０歳","島根県","男女総数","10029"
"全域","1980年"," ０歳","岡山県","男女総数","24426"
"全域","1980年"," ０歳","広島県","男女総数","37512"
"全域","1980年"," ０歳","山口県","男女総数","20046"
"全域","1980年"," ０歳","徳島県","男女総数","10429"
"全域","1980年"," ０歳","香川県","男女総数","13084"
"全域","1980年"," ０歳","愛媛県","男女総数","19665"
"全域","1980年"," ０歳","高知県","男女総数","9592"
"全域","1980年"," ０歳","福岡県","男女総数","64967"
"全域","1980年"," ０歳","佐賀県","男女総数","12601"
"全域","1980年"," ０歳","長崎県","男女総数","22369"
"全域","1980年"," ０歳","熊本県","男女総数","24365"
"全域","1980年"," ０歳","大分県","男女総数","16377"
"全域","1980年"," ０歳","宮崎県","男女総数","17148"
"全域","1980年"," ０歳","鹿児島県","男女総数","24398"
"全域","1980年"," ０歳","沖縄県","男女総数","20060"
"全域","1980年"," １歳","全国","男女総数","1636235"
"全域","1980年"," １歳","全国市部","男女総数","1258384"
"全域","1980年"," １歳","全国郡部","男女総数","377851"
"全域","1980年"," １歳","北海道","男女総数","78858"
"全域","1980年"," １歳","青森県","男女総数","21833"
"全域","1980年"," １歳","岩手県","男女総数","19789"
"全域","1980年"," １歳","宮城県","男女総数","31578"
"全域","1980年"," １歳","秋田県","男女総数","16842"
"全域","1980年"," １歳","山形県","男女総数","17113"
"全域","1980年"," １歳","福島県","男女総数","29822"
"全域","1980年"," １歳","茨城県","男女総数","37815"
"全域","1980年"," １歳","栃木県","男女総数","26917"
"全域","1980年"," １歳","群馬県","男女総数","26523"
"全域","1980年"," １歳","埼玉県","男女総数","82180"
"全域","1980年"," １歳","千葉県","男女総数","71945"
"全域","1980年"," １歳","東京都","男女総数","139093"
"全域","1980年"," １歳","神奈川県","男女総数","99271"
"全域","1980年"," １歳","新潟県","男女総数","33993"
"全域","1980年"," １歳","富山県","男女総数","14411"
"全域","1980年"," １歳","石川県","男女総数","15924"
"全域","1980年"," １歳","福井県","男女総数","10974"
"全域","1980年"," １歳","山梨県","男女総数","10473"
"全域","1980年"," １歳","長野県","男女総数","28110"
"全域","1980年"," １歳","岐阜県","男女総数","27208"
"全域","1980年"," １歳","静岡県","男女総数","49760"
"全域","1980年"," １歳","愛知県","男女総数","91283"
"全域","1980年"," １歳","三重県","男女総数","22210"
"全域","1980年"," １歳","滋賀県","男女総数","16539"
"全域","1980年"," １歳","京都府","男女総数","33947"
"全域","1980年"," １歳","大阪府","男女総数","116394"
"全域","1980年"," １歳","兵庫県","男女総数","71792"
"全域","1980年"," １歳","奈良県","男女総数","16485"
"全域","1980年"," １歳","和歌山県","男女総数","13678"
"全域","1980年"," １歳","鳥取県","男女総数","8255"
"全域","1980年"," １歳","島根県","男女総数","10145"
"全域","1980年"," １歳","岡山県","男女総数","24878"
"全域","1980年"," １歳","広島県","男女総数","37893"
"全域","1980年"," １歳","山口県","男女総数","20703"
"全域","1980年"," １歳","徳島県","男女総数","10689"
"全域","1980年"," １歳","香川県","男女総数","13464"
"全域","1980年"," １歳","愛媛県","男女総数","20137"
"全域","1980年"," １歳","高知県","男女総数","10404"
"全域","1980年"," １歳","福岡県","男女総数","66519"
"全域","1980年"," １歳","佐賀県","男女総数","12795"
"全域","1980年"," １歳","長崎県","男女総数","23377"
"全域","1980年"," １歳","熊本県","男女総数","24740"
"全域","1980年"," １歳","大分県","男女総数","16864"
"全域","1980年"," １歳","宮崎県","男女総数","17581"
"全域","1980年"," １歳","鹿児島県","男女総数","24836"
"全域","1980年"," １歳","沖縄県","男女総数","20195"
"全域","1980年"," ２歳","全国","男女総数","1706055"
"全域","1980年"," ２歳","全国市部","男女総数","1310089"
"全域","1980年"," ２歳","全国郡部","男女総数","395966"
"全域","1980年"," ２歳","北海道","男女総数","82288"
"全域","1980年"," ２歳","青森県","男女総数","22394"
"全域","1980年"," ２歳","岩手県","男女総数","20814"
"全域","1980年"," ２歳","宮城県","男女総数","31923"
"全域","1980年"," ２歳","秋田県","男女総数","17189"
"全域","1980年"," ２歳","山形県","男女総数","17597"
"全域","1980年"," ２歳","福島県","男女総数","30726"
"全域","1980年"," ２歳","茨城県","男女総数","40094"
"全域","1980年"," ２歳","栃木県","男女総数","27620"
"全域","1980年"," ２歳","群馬県","男女総数","27690"
"全域","1980年"," ２歳","埼玉県","男女総数","87538"
"全域","1980年"," ２歳","千葉県","男女総数","75437"
"全域","1980年"," ２歳","東京都","男女総数","143455"
"全域","1980年"," ２歳","神奈川県","男女総数","103166"
"全域","1980年"," ２歳","新潟県","男女総数","35487"
