"全域・集中の別030002","出生の月030007","時間軸(年次)","全国都道府県030001","男女Ｂ030005","総日本人030004","年齢各歳階級Ａ030006","VALUE"
"全域","総数","1980年","全国","男","総人口","総数","57545046"
"全域","総数","1980年","全国市部","男","総人口","総数","43979413"
"全域","総数","1980年","全国郡部","男","総人口","総数","13565633"
"全域","総数","1980年","北海道","男","総人口","総数","2735681"
"全域","総数","1980年","青森県","男","総人口","総数","735350"
"全域","総数","1980年","岩手県","男","総人口","総数","688373"
"全域","総数","1980年","宮城県","男","総人口","総数","1024843"
"全域","総数","1980年","秋田県","男","総人口","総数","603350"
"全域","総数","1980年","山形県","男","総人口","総数","605401"
"全域","総数","1980年","福島県","男","総人口","総数","990491"
"全域","総数","1980年","茨城県","男","総人口","総数","1272116"
"全域","総数","1980年","栃木県","男","総人口","総数","885282"
"全域","総数","1980年","群馬県","男","総人口","総数","908825"
"全域","総数","1980年","埼玉県","男","総人口","総数","2736485"
"全域","総数","1980年","千葉県","男","総人口","総数","2380207"
"全域","総数","1980年","東京都","男","総人口","総数","5841538"
"全域","総数","1980年","神奈川県","男","総人口","総数","3531800"
"全域","総数","1980年","新潟県","男","総人口","総数","1193379"
"全域","総数","1980年","富山県","男","総人口","総数","532676"
"全域","総数","1980年","石川県","男","総人口","総数","542313"
"全域","総数","1980年","福井県","男","総人口","総数","384224"
"全域","総数","1980年","山梨県","男","総人口","総数","391532"
"全域","総数","1980年","長野県","男","総人口","総数","1008879"
"全域","総数","1980年","岐阜県","男","総人口","総数","953955"
"全域","総数","1980年","静岡県","男","総人口","総数","1695603"
"全域","総数","1980年","愛知県","男","総人口","総数","3111067"
"全域","総数","1980年","三重県","男","総人口","総数","817487"
"全域","総数","1980年","滋賀県","男","総人口","総数","529144"
"全域","総数","1980年","京都府","男","総人口","総数","1238111"
"全域","総数","1980年","大阪府","男","総人口","総数","4197512"
"全域","総数","1980年","兵庫県","男","総人口","総数","2507612"
"全域","総数","1980年","奈良県","男","総人口","総数","586595"
"全域","総数","1980年","和歌山県","男","総人口","総数","523217"
"全域","総数","1980年","鳥取県","男","総人口","総数","289834"
"全域","総数","1980年","島根県","男","総人口","総数","377452"
"全域","総数","1980年","岡山県","男","総人口","総数","905345"
"全域","総数","1980年","広島県","男","総人口","総数","1336109"
"全域","総数","1980年","山口県","男","総人口","総数","759022"
"全域","総数","1980年","徳島県","男","総人口","総数","395847"
"全域","総数","1980年","香川県","男","総人口","総数","480915"
"全域","総数","1980年","愛媛県","男","総人口","総数","718367"
"全域","総数","1980年","高知県","男","総人口","総数","395976"
"全域","総数","1980年","福岡県","男","総人口","総数","2197849"
"全域","総数","1980年","佐賀県","男","総人口","総数","410890"
"全域","総数","1980年","長崎県","男","総人口","総数","758158"
"全域","総数","1980年","熊本県","男","総人口","総数","850738"
"全域","総数","1980年","大分県","男","総人口","総数","582997"
"全域","総数","1980年","宮崎県","男","総人口","総数","550145"
"全域","総数","1980年","鹿児島県","男","総人口","総数","839369"
"全域","総数","1980年","沖縄県","男","総人口","総数","542985"
"全域","１－３月","1980年","全国","男","総人口","総数","17017643"
"全域","１－３月","1980年","全国市部","男","総人口","総数","12922102"
"全域","１－３月","1980年","全国郡部","男","総人口","総数","4095541"
"全域","１－３月","1980年","北海道","男","総人口","総数","822467"
"全域","１－３月","1980年","青森県","男","総人口","総数","203522"
"全域","１－３月","1980年","岩手県","男","総人口","総数","199658"
"全域","１－３月","1980年","宮城県","男","総人口","総数","300975"
"全域","１－３月","1980年","秋田県","男","総人口","総数","183877"
"全域","１－３月","1980年","山形県","男","総人口","総数","187588"
"全域","１－３月","1980年","福島県","男","総人口","総数","297571"
"全域","１－３月","1980年","茨城県","男","総人口","総数","379522"
"全域","１－３月","1980年","栃木県","男","総人口","総数","264403"
"全域","１－３月","1980年","群馬県","男","総人口","総数","268959"
"全域","１－３月","1980年","埼玉県","男","総人口","総数","784290"
"全域","１－３月","1980年","千葉県","男","総人口","総数","689347"
"全域","１－３月","1980年","東京都","男","総人口","総数","1700644"
"全域","１－３月","1980年","神奈川県","男","総人口","総数","1021364"
"全域","１－３月","1980年","新潟県","男","総人口","総数","369111"
"全域","１－３月","1980年","富山県","男","総人口","総数","159382"
"全域","１－３月","1980年","石川県","男","総人口","総数","165873"
"全域","１－３月","1980年","福井県","男","総人口","総数","119956"
"全域","１－３月","1980年","山梨県","男","総人口","総数","119013"
"全域","１－３月","1980年","長野県","男","総人口","総数","303524"
"全域","１－３月","1980年","岐阜県","男","総人口","総数","279836"
"全域","１－３月","1980年","静岡県","男","総人口","総数","481795"
"全域","１－３月","1980年","愛知県","男","総人口","総数","878053"
"全域","１－３月","1980年","三重県","男","総人口","総数","235227"
"全域","１－３月","1980年","滋賀県","男","総人口","総数","161043"
"全域","１－３月","1980年","京都府","男","総人口","総数","368966"
"全域","１－３月","1980年","大阪府","男","総人口","総数","1231456"
"全域","１－３月","1980年","兵庫県","男","総人口","総数","755579"
"全域","１－３月","1980年","奈良県","男","総人口","総数","172603"
"全域","１－３月","1980年","和歌山県","男","総人口","総数","158837"
"全域","１－３月","1980年","鳥取県","男","総人口","総数","88431"
"全域","１－３月","1980年","島根県","男","総人口","総数","118195"
"全域","１－３月","1980年","岡山県","男","総人口","総数","277440"
"全域","１－３月","1980年","広島県","男","総人口","総数","409658"
"全域","１－３月","1980年","山口県","男","総人口","総数","234249"
"全域","１－３月","1980年","徳島県","男","総人口","総数","118788"
"全域","１－３月","1980年","香川県","男","総人口","総数","148039"
"全域","１－３月","1980年","愛媛県","男","総人口","総数","208025"
"全域","１－３月","1980年","高知県","男","総人口","総数","116513"
"全域","１－３月","1980年","福岡県","男","総人口","総数","678182"
"全域","１－３月","1980年","佐賀県","男","総人口","総数","128636"
"全域","１－３月","1980年","長崎県","男","総人口","総数","224744"
"全域","１－３月","1980年","熊本県","男","総人口","総数","267287"
"全域","１－３月","1980年","大分県","男","総人口","総数","180825"
"全域","１－３月","1980年","宮崎県","男","総人口","総数","166432"
"全域","１－３月","1980年","鹿児島県","男","総人口","総数","257550"
"全域","１－３月","1980年","沖縄県","男","総人口","総数","130208"
"全域","４－６月","1980年","全国","男","総人口","総数","12977422"
"全域","４－６月","1980年","全国市部","男","総人口","総数","9926531"
"全域","４－６月","1980年","全国郡部","男","総人口","総数","3050891"
"全域","４－６月","1980年","北海道","男","総人口","総数","656792"
"全域","４－６月","1980年","青森県","男","総人口","総数","184531"
"全域","４－６月","1980年","岩手県","男","総人口","総数","167662"
"全域","４－６月","1980年","宮城県","男","総人口","総数","237398"
"全域","４－６月","1980年","秋田県","男","総人口","総数","139631"
"全域","４－６月","1980年","山形県","男","総人口","総数","136149"
"全域","４－６月","1980年","福島県","男","総人口","総数","230910"
"全域","４－６月","1980年","茨城県","男","総人口","総数","288122"
"全域","４－６月","1980年","栃木県","男","総人口","総数","196464"
"全域","４－６月","1980年","群馬県","男","総人口","総数","207359"
"全域","４－６月","1980年","埼玉県","男","総人口","総数","624132"
"全域","４－６月","1980年","千葉県","男","総人口","総数","545936"
"全域","４－６月","1980年","東京都","男","総人口","総数","1328218"
"全域","４－６月","1980年","神奈川県","男","総人口","総数","807980"
"全域","４－６月","1980年","新潟県","男","総人口","総数","270601"
"全域","４－６月","1980年","富山県","男","総人口","総数","120479"
"全域","４－６月","1980年","石川県","男","総人口","総数","126055"
"全域","４－６月","1980年","福井県","男","総人口","総数","89569"
"全域","４－６月","1980年","山梨県","男","総人口","総数","88101"
"全域","４－６月","1980年","長野県","男","総人口","総数","234524"
"全域","４－６月","1980年","岐阜県","男","総人口","総数","219004"
"全域","４－６月","1980年","静岡県","男","総人口","総数","385428"
"全域","４－６月","1980年","愛知県","男","総人口","総数","706614"
"全域","４－６月","1980年","三重県","男","総人口","総数","179129"
"全域","４－６月","1980年","滋賀県","男","総人口","総数","120601"
"全域","４－６月","1980年","京都府","男","総人口","総数","278062"
"全域","４－６月","1980年","大阪府","男","総人口","総数","926051"
"全域","４－６月","1980年","兵庫県","男","総人口","総数","555548"
"全域","４－６月","1980年","奈良県","男","総人口","総数","129337"
"全域","４－６月","1980年","和歌山県","男","総人口","総数","111755"
"全域","４－６月","1980年","鳥取県","男","総人口","総数","65377"
"全域","４－６月","1980年","島根県","男","総人口","総数","83539"
"全域","４－６月","1980年","岡山県","男","総人口","総数","199382"
"全域","４－６月","1980年","広島県","男","総人口","総数","295473"
"全域","４－６月","1980年","山口県","男","総人口","総数","165160"
"全域","４－６月","1980年","徳島県","男","総人口","総数","86236"
"全域","４－６月","1980年","香川県","男","総人口","総数","102218"
"全域","４－６月","1980年","愛媛県","男","総人口","総数","161423"
"全域","４－６月","1980年","高知県","男","総人口","総数","84720"
"全域","４－６月","1980年","福岡県","男","総人口","総数","469865"
"全域","４－６月","1980年","佐賀県","男","総人口","総数","86127"
"全域","４－６月","1980年","長崎県","男","総人口","総数","162615"
"全域","４－６月","1980年","熊本県","男","総人口","総数","179190"
"全域","４－６月","1980年","大分県","男","総人口","総数","126870"
"全域","４－６月","1980年","宮崎県","男","総人口","総数","115870"
"全域","４－６月","1980年","鹿児島県","男","総人口","総数","174777"
"全域","４－６月","1980年","沖縄県","男","総人口","総数","126438"
"全域","７－９月","1980年","全国","男","総人口","総数","13928051"
"全域","７－９月","1980年","全国市部","男","総人口","総数","10720630"
"全域","７－９月","1980年","全国郡部","男","総人口","総数","3207421"
"全域","７－９月","1980年","北海道","男","総人口","総数","652815"
"全域","７－９月","1980年","青森県","男","総人口","総数","175964"
"全域","７－９月","1980年","岩手県","男","総人口","総数","159437"
"全域","７－９月","1980年","宮城県","男","総人口","総数","241334"
"全域","７－９月","1980年","秋田県","男","総人口","総数","138289"
"全域","７－９月","1980年","山形県","男","総人口","総数","142299"
"全域","７－９月","1980年","福島県","男","総人口","総数","228974"
"全域","７－９月","1980年","茨城県","男","総人口","総数","299036"
"全域","７－９月","1980年","栃木県","男","総人口","総数","211146"
"全域","７－９月","1980年","群馬県","男","総人口","総数","221010"
"全域","７－９月","1980年","埼玉県","男","総人口","総数","676956"
"全域","７－９月","1980年","千葉県","男","総人口","総数","578540"
"全域","７－９月","1980年","東京都","男","総人口","総数","1433023"
"全域","７－９月","1980年","神奈川県","男","総人口","総数","869605"
"全域","７－９月","1980年","新潟県","男","総人口","総数","281371"
"全域","７－９月","1980年","富山県","男","総人口","総数","128452"
"全域","７－９月","1980年","石川県","男","総人口","総数","128767"
"全域","７－９月","1980年","福井県","男","総人口","総数","91228"
"全域","７－９月","1980年","山梨県","男","総人口","総数","90194"
"全域","７－９月","1980年","長野県","男","総人口","総数","234453"
"全域","７－９月","1980年","岐阜県","男","総人口","総数","234987"
"全域","７－９月","1980年","静岡県","男","総人口","総数","416739"
"全域","７－９月","1980年","愛知県","男","総人口","総数","781154"
"全域","７－９月","1980年","三重県","男","総人口","総数","202281"
"全域","７－９月","1980年","滋賀県","男","総人口","総数","125691"
"全域","７－９月","1980年","京都府","男","総人口","総数","297767"
"全域","７－９月","1980年","大阪府","男","総人口","総数","1028070"
"全域","７－９月","1980年","兵庫県","男","総人口","総数","610041"
"全域","７－９月","1980年","奈良県","男","総人口","総数","143222"
"全域","７－９月","1980年","和歌山県","男","総人口","総数","126093"
"全域","７－９月","1980年","鳥取県","男","総人口","総数","67474"
"全域","７－９月","1980年","島根県","男","総人口","総数","88072"
"全域","７－９月","1980年","岡山県","男","総人口","総数","221408"
"全域","７－９月","1980年","広島県","男","総人口","総数","325808"
"全域","７－９月","1980年","山口県","男","総人口","総数","184589"
"全域","７－９月","1980年","徳島県","男","総人口","総数","94934"
"全域","７－９月","1980年","香川県","男","総人口","総数","117089"
"全域","７－９月","1980年","愛媛県","男","総人口","総数","174326"
